q,30Ｃ,60 C,80 C,100C
0.16371,0.006232,0.0069537,0.0071731,0.0070341
0.16413,0.005975,0.0071159,0.0072151,0.0079159
0.16455,0.006335,0.00692,0.0067311,0.008472
0.16497,0.006374,0.0060198,0.007299,0.0070364
0.16539,0.006802,0.0069917,0.0067358,0.0084341
0.16581,0.005965,0.0077538,0.0081023,0.0079606
0.16623,0.007609,0.0054839,0.0062416,0.0089727
0.16664,0.005019,0.0047554,0.0047262,0.006303
0.16706,0.006504,0.0070598,0.0065806,0.0066591
0.16748,0.006905,0.0071125,0.0075763,0.0063712
0.1679,0.005727,0.0060311,0.0059469,0.0068909
0.16832,0.006734,0.0060569,0.0064364,0.007725
0.16874,0.004384,0.00583,0.0056482,0.0060561
0.16916,0.006199,0.0063849,0.0066455,0.0073932
0.16957,0.006173,0.0055848,0.0061077,0.0074
0.16999,0.006236,0.0062218,0.0053448,0.0078008
0.17041,0.006278,0.0069787,0.0065727,0.0076
0.17083,0.007085,0.0070581,0.0071216,0.00635
0.17125,0.006245,0.0055072,0.0064768,0.006822
0.17167,0.005387,0.0060578,0.0062796,0.0071917
0.17209,0.005637,0.0063754,0.0058423,0.0075826
0.1725,0.00629,0.0062054,0.0061093,0.0073333
0.17292,0.006905,0.005943,0.0058993,0.0076159
0.17334,0.006774,0.0060086,0.0060934,0.0057621
0.17376,0.005417,0.0061502,0.0062875,0.0076136
0.17418,0.004563,0.0061113,0.0071184,0.0060311
0.1746,0.005832,0.0067837,0.0068673,0.006375
0.17502,0.006251,0.006378,0.0053647,0.0071848
0.17543,0.005805,0.0058602,0.0055025,0.0065053
0.17585,0.005205,0.0068691,0.0052965,0.0069727
0.17627,0.005278,0.0059516,0.0076001,0.0069515
0.17669,0.005679,0.0078202,0.0044886,0.0069288
0.17711,0.005647,0.0063771,0.0065544,0.005825
0.17753,0.004914,0.0078556,0.0055255,0.0066644
0.17795,0.006374,0.0063892,0.0057956,0.0061455
