Q,I_obs,err,I_fit,I_fit_over_I_obs
3.479584512124636077e-03,1.287701250429516264e+01,1.192827255098998673e+00,1.531028855806903266e+01,1.188962777892950351e+00
3.663338711021686765e-03,1.258430185472282048e+01,9.145687311162485900e-01,1.272359443244524613e+01,1.011068756879043740e+00
3.814171764191158151e-03,8.704157674578357984e+00,1.147039463106974244e+00,1.099320571021142356e+01,1.262983291573236633e+00
3.963039937061135082e-03,9.013633191730638927e+00,8.790542876039122433e-01,9.562039996576325862e+00,1.060841926133494262e+00
4.137725771273845221e-03,7.313389737642221000e+00,8.900911408706194683e-01,8.167518092912056105e+00,1.116789667433367050e+00
4.310886989258130159e-03,6.097330786742322317e+00,7.475357896225933718e-01,7.025760454174466929e+00,1.152268213732288826e+00
4.521645323762290766e-03,6.005994951675290849e+00,7.438490861084426919e-01,5.891967293083341772e+00,9.810143599004953474e-01
4.725105215184107789e-03,4.407998107962379564e+00,6.532310638349962950e-01,5.009113028849252025e+00,1.136369142219242345e+00
4.924092364723929582e-03,4.278397939002060113e+00,6.352424226047065359e-01,4.300320097455299084e+00,1.005123917589197502e+00
5.137909105876913539e-03,4.055261795810189973e+00,5.870132879025659056e-01,3.674126159724471208e+00,9.060145422720919939e-01
5.371798409526735985e-03,2.919083577208731572e+00,5.320064037410717761e-01,3.116954422073002107e+00,1.067785261925757290e+00
5.605435345323486578e-03,2.825442244068175679e+00,5.313077449333586388e-01,2.663632515336411988e+00,9.427311851546524846e-01
5.821345538048161052e-03,1.907061066148509454e+00,5.064145240839161843e-01,2.317655852332670019e+00,1.215302379914553921e+00
6.081332575715576831e-03,2.339802629634306630e+00,4.268382485672390647e-01,1.975271217624183562e+00,8.442042044943351975e-01
6.357818523235810905e-03,1.837940624399603928e+00,4.363705971590723931e-01,1.679878741342008430e+00,9.140005498767245218e-01
6.629891907601249967e-03,1.853697101549129034e+00,4.068225851898431555e-01,1.444056499807995442e+00,7.790142729366096308e-01
6.913458624917227270e-03,1.406461071787055594e+00,3.893630345547537952e-01,1.243166515448819842e+00,8.838968531629866066e-01
7.204083671415976650e-03,1.261130691113187208e+00,3.761775822348646381e-01,1.074753129693616582e+00,8.522139198316892594e-01
7.520270362837404125e-03,1.232024336733727354e+00,3.336534862934582568e-01,9.254216231353328270e-01,7.511390769996945105e-01
7.856477454476984423e-03,9.214851917123993985e-01,3.332363082018603984e-01,7.968179767399755642e-01,8.647105606322829097e-01
8.149090595851888122e-03,9.972658210510993992e-01,8.384270691583542434e-02,7.048640998104714894e-01,7.067966082178149811e-01
8.565122008883541138e-03,8.863412203031981740e-01,2.978628687082664483e-01,5.989432614052834225e-01,6.757479486290820514e-01
8.816672640498360303e-03,8.365208503920524841e-01,6.103633137950357362e-02,5.461932741707485883e-01,6.529344414006704733e-01
8.971842088051969200e-03,5.693837461559082547e-01,3.878894895614291155e-02,5.171610524898538896e-01,9.082820786181086126e-01
9.423528171805155632e-03,5.009422828096951053e-01,5.054174032056182181e-02,4.453858336853584454e-01,8.890961074143501897e-01
9.745037173786439896e-03,4.121786326152260260e-01,2.609688122259435916e-01,4.037505039737948054e-01,9.795522427061400528e-01
1.017091098263514688e-02,4.425716888727757037e-01,2.452737147840129139e-01,3.580540034337010846e-01,8.090305196558323919e-01
1.047263942487483730e-02,4.464068099428957215e-01,2.160981473241881459e-02,3.310068608409806323e-01,7.414915128273311673e-01
1.107351889487671708e-02,3.282714991069042854e-01,2.482136613798604716e-02,2.873662170389441051e-01,8.753919174243054435e-01
1.158433771814053152e-02,3.214535894759266155e-01,2.922267164389003372e-02,2.585374487643954389e-01,8.042761295212013106e-01
1.198312253681269555e-02,2.644799497369528796e-01,2.321040335145994546e-02,2.401067219462947322e-01,9.078447049959766924e-01
1.248356688265144822e-02,2.467652231947293773e-01,1.894866634329810118e-02,2.209963980402487038e-01,8.955735138814687746e-01
1.302519010043231597e-02,2.306599783099346213e-01,2.764278619609628410e-02,2.043937323792865968e-01,8.861256897572650226e-01
1.333230184424476911e-02,2.114370577033687360e-01,1.337750053724298151e-02,1.964818363006188284e-01,9.292686837151743484e-01
1.381946162277382893e-02,2.181817625690684326e-01,3.092805601442707650e-02,1.854888174597374983e-01,8.501572967218947730e-01
1.428968717154040398e-02,1.183869252275787931e-01,1.928166049376146551e-01,1.766571995406507056e-01,1.492201940383679926e+00
1.471706101995580440e-02,1.852653091762534732e-01,1.493783387104994330e-02,1.699623154958981031e-01,9.173995728158866880e-01
1.508096559438774908e-02,1.840349662337800452e-01,1.266823638347552156e-02,1.649973249722098412e-01,8.965542165645487005e-01
1.567440197223955722e-02,1.678274567250949145e-01,1.068769534080229837e-02,1.580425352604905298e-01,9.416965396750764938e-01
1.623542374825294801e-02,1.939605727471575836e-01,2.543420891401034778e-01,1.527432266016388041e-01,7.874962650308898748e-01
1.679522622772237211e-02,1.634904075321865491e-01,9.742751691962960037e-03,1.485762212268854632e-01,9.087763830892346961e-01
1.744305363142721610e-02,1.426622538407197049e-01,1.111909499694798721e-02,1.445960983325969840e-01,1.013555404038663177e+00
1.821637609071816502e-02,1.449867854624814212e-01,9.609881813925998453e-03,1.411327474865009257e-01,9.734180052086346402e-01
1.872080193530444026e-02,1.257464716633504842e-01,8.097202263693365279e-03,1.391550327624042904e-01,1.106631708402533221e+00
1.940734783867090890e-02,1.349766313159186937e-01,8.527905518566395240e-03,1.361994510120182744e-01,1.009059491885210269e+00
2.011656900771569348e-02,1.188961168223211795e-01,7.693014106548109500e-03,1.348440432290247126e-01,1.134133282338700477e+00
