Q,I_obs,err,I_fit,I_fit_over_I_obs
1.764236542046940248e-01,6.596600264314866902e-02,8.774011398268146073e-04,6.545177403304022756e-02,9.922046419442720477e-01
1.822887185420839495e-01,6.278361456489789383e-02,8.072904210304784976e-04,6.335678072307056319e-02,1.009129231601984422e+00
1.886853522393059091e-01,6.172836817847198593e-02,7.704575960105675050e-04,6.121910314066140307e-02,9.917499027944790546e-01
1.952277147316726080e-01,5.810632894861366554e-02,7.516612052760589940e-04,5.917252656805536276e-02,1.018349078985605560e+00
2.018098375457103855e-01,5.687503791301174588e-02,7.218835942048041623e-04,5.723775947249017809e-02,1.006377517673626931e+00
2.085002909161943474e-01,5.407358594712386585e-02,6.974343441021876389e-04,5.540487399787344391e-02,1.024619932771822839e+00
2.157164826713502404e-01,5.321453362629571110e-02,6.501301918372871151e-04,5.355455575425178971e-02,1.006389647804562415e+00
2.232864832888701023e-01,5.141527377837869922e-02,6.403941467028334425e-04,5.173974051887803016e-02,1.006310707240379854e+00
2.308392220110309090e-01,4.961375437211344025e-02,6.216652300230139606e-04,5.004338859629348796e-02,1.008659578973961635e+00
2.384541492281614661e-01,4.843232629796859895e-02,5.919534826276772865e-04,4.843505652370334175e-02,1.000056371971850933e+00
2.466871024373974153e-01,4.728276560645391230e-02,5.655941724932684678e-04,4.681007107697825881e-02,9.900028155415018238e-01
2.551228988787717089e-01,4.519725569127782533e-02,5.514708692701303545e-04,4.526020031234501834e-02,1.001392664667455357e+00
2.640211177172789858e-01,4.338242853603244825e-02,5.054563600270372018e-04,4.373100650034260350e-02,1.008035003481205116e+00
2.732807479855638988e-01,4.245344607201063242e-02,5.160712507566590345e-04,4.224229520147824296e-02,9.950262960944505908e-01
2.822330290347649928e-01,4.117077835219044163e-02,4.924523140675616650e-04,4.089212294866483022e-02,9.932317188384953699e-01
2.920439865897109799e-01,3.959282791512986482e-02,4.443631733276558584e-04,3.950926365172717503e-02,9.978894090722234544e-01
3.022480341885022681e-01,3.833278874904828132e-02,4.561413137735911166e-04,3.817702729134009321e-02,9.959365998981210000e-01
3.122866481160652130e-01,3.704519177189481011e-02,4.298093959025263834e-04,3.694559094875173727e-02,9.973113697519406795e-01
3.231381141473891327e-01,3.550832238105130351e-02,4.295296440010776175e-04,3.569784096178790778e-02,1.005337300329281147e+00
3.343118730881861622e-01,3.458771239723557739e-02,4.178467818145916736e-04,3.449850053663647970e-02,9.974207065337391542e-01
3.459039275614308462e-01,3.365571650564614520e-02,4.164149093762999445e-04,3.333607553885468283e-02,9.905026248144847001e-01
3.575591038206403227e-01,3.265832330266259242e-02,4.048079226591264307e-04,3.223787782665606810e-02,9.871259319680920630e-01
3.694499927832214370e-01,3.141930299686102740e-02,4.201351725057991707e-04,3.119839703645302734e-02,9.929691005421071859e-01
3.825196365059411741e-01,2.940755180983027628e-02,4.247230819659852203e-04,3.012964993622689255e-02,1.024554853497027018e+00
3.957644323559594279e-01,2.838142009835366297e-02,4.656525656888275879e-04,2.911198074483800635e-02,1.025740806624638291e+00
