Q,I_obs,err,I_fit,I_fit_over_I_obs
2.080999999999999864e-02,8.078686018618461140e-02,6.779999999999999569e-03,8.588537817855054768e-02,1.063110733362030436e+00
2.161000000000000074e-02,7.804686018618461896e-02,6.649999999999999661e-03,8.796479311084783037e-02,1.127076642173733712e+00
2.240999999999999936e-02,8.831686018618462031e-02,6.490000000000000109e-03,9.028939681686437568e-02,1.022334768542737748e+00
2.321000000000000146e-02,8.140686018618462083e-02,6.570000000000000319e-03,9.261240438936459152e-02,1.137648647516338318e+00
2.401000000000000009e-02,9.337686018618462924e-02,6.429999999999999952e-03,9.485290485737202237e-02,1.015807392412256149e+00
2.480999999999999872e-02,1.041368601861846210e-01,6.239999999999999887e-03,9.705874938105241156e-02,9.320306873812272963e-01
2.561000000000000082e-02,1.066068601861846210e-01,6.049999999999999822e-03,9.916408764983832003e-02,9.301848631190544614e-01
2.640999999999999945e-02,1.014868601861846076e-01,6.040000000000000230e-03,1.009833795020458891e-01,9.950389569327985351e-01
2.721000000000000155e-02,1.156968601861846080e-01,5.870000000000000218e-03,1.026155824051563498e-01,8.869348938253184267e-01
2.800000000000000058e-02,1.127068601861846153e-01,5.899999999999999863e-03,1.040881586711898538e-01,9.235299297597572288e-01
2.879999999999999921e-02,1.213768601861846264e-01,5.749999999999999903e-03,1.053480390713531223e-01,8.679417057728773255e-01
2.960000000000000131e-02,1.274668601861846107e-01,5.799999999999999600e-03,1.062236893511802061e-01,8.333435780564804052e-01
3.039999999999999994e-02,1.073768601861846139e-01,5.709999999999999798e-03,1.067642821342095760e-01,9.942950645892153494e-01
3.119999999999999857e-02,1.205968601861846234e-01,5.669999999999999693e-03,1.071106599587987041e-01,8.881712160120494026e-01
3.200000000000000067e-02,1.128068601861846043e-01,5.530000000000000193e-03,1.071825720269277554e-01,9.501423215753534990e-01
3.280000000000000276e-02,1.156968601861846080e-01,5.539999999999999786e-03,1.068551929731426792e-01,9.235790219474104834e-01
3.359999999999999792e-02,1.126368601861846286e-01,5.459999999999999576e-03,1.060398901353575701e-01,9.414315168238664988e-01
3.440000000000000002e-02,1.123668601861846084e-01,5.290000000000000431e-03,1.050654226696908777e-01,9.350214333265544076e-01
3.520000000000000212e-02,1.136568601861846217e-01,5.219999999999999814e-03,1.036138419097831637e-01,9.116373771020095385e-01
3.599999999999999728e-02,9.698686018618463134e-02,5.239999999999999866e-03,1.020844203225949182e-01,1.052559286140664296e+00
3.679999999999999938e-02,1.042368601861846100e-01,5.069999999999999854e-03,1.001347136748969580e-01,9.606459125499317020e-01
3.760000000000000148e-02,1.034968601861846194e-01,5.060000000000000261e-03,9.811105141408107966e-02,9.479616216142712215e-01
3.839999999999999664e-02,9.956686018618463030e-02,5.080000000000000314e-03,9.587729515937511160e-02,9.629438447701350601e-01
3.919999999999999873e-02,9.969686018618462153e-02,4.839999999999999684e-03,9.359698022931570160e-02,9.388157265386557482e-01
4.000000000000000083e-02,9.007686018618463186e-02,4.899999999999999842e-03,9.119340726929890673e-02,1.012395492924669238e+00
4.080000000000000293e-02,9.405686018618461541e-02,4.789999999999999987e-03,8.880381358047989560e-02,9.441503087036249298e-01
4.159999999999999809e-02,9.003686018618461961e-02,4.839999999999999684e-03,8.638583396050260321e-02,9.594496496420225062e-01
4.240000000000000019e-02,9.401686018618463092e-02,4.590000000000000330e-03,8.402035671934164618e-02,8.936732895882016914e-01
4.320000000000000229e-02,8.174686018618462779e-02,4.570000000000000277e-03,8.172837176258537784e-02,9.997738332266568051e-01
4.399999999999999745e-02,8.098686018618461713e-02,4.579999999999999870e-03,7.947844395768484393e-02,9.813745560078264152e-01
4.479999999999999954e-02,8.084686018618461589e-02,4.449999999999999963e-03,7.742117290877520430e-02,9.576274543065704803e-01
4.560000000000000164e-02,7.949686018618461192e-02,4.510000000000000120e-03,7.540650984595885509e-02,9.485470202138046592e-01
4.639999999999999680e-02,8.269686018618460643e-02,4.389999999999999805e-03,7.357973805537282308e-02,8.897524995473178322e-01
4.719999999999999890e-02,8.466686018618460596e-02,4.340000000000000108e-03,7.186619356700960082e-02,8.488113697493209209e-01
