Q,I_obs,err,I_fit,I_fit_over_I_obs
2.951447492885961657e-02,2.104652789106034039e-01,4.637933846760092932e-03,2.204694429744969431e-01,1.047533560479317227e+00
3.061562445324804427e-02,2.078608762992656955e-01,5.290311133715959110e-03,2.272717205505494220e-01,1.093383827668161778e+00
3.156227979959883023e-02,2.137209673216053929e-01,5.092043497043309379e-03,2.309269746463944173e-01,1.080506875579023474e+00
3.259506328870292319e-02,2.145635909522372042e-01,4.757633560127066084e-03,2.291524131004703535e-01,1.067992999574101542e+00
3.384712910430039134e-02,2.109929976835837051e-01,4.181975771870905835e-03,2.286530540112356458e-01,1.083699727107227950e+00
3.502666680268168992e-02,2.123174719015954448e-01,4.479122005302748136e-03,2.309100640045942954e-01,1.087569769630716499e+00
3.608411690544479494e-02,2.167006655171209717e-01,4.264966131688287254e-03,2.338568327201830943e-01,1.079169887005753781e+00
3.740308270479330427e-02,2.159030774201823877e-01,3.760618983836340815e-03,2.364150127890847219e-01,1.095005294106960791e+00
3.851348080971872534e-02,2.253315741464064215e-01,3.313934976078467768e-03,2.380267790206205825e-01,1.056340106451151950e+00
3.978499794244601956e-02,2.330077940450351326e-01,2.646731566166363181e-03,2.404517072075712247e-01,1.031947056505317484e+00
4.163161920608882821e-02,2.342478055185205355e-01,3.107057839082374203e-03,2.450187193897262750e-01,1.045980852829607954e+00
4.289679195542570739e-02,2.294149617483153270e-01,3.457321062187471497e-03,2.477743060597420166e-01,1.080026795861589006e+00
4.438414979045095243e-02,2.364106510053671784e-01,3.356888275067016619e-03,2.498717002132692377e-01,1.056939267121245196e+00
4.566001087036158923e-02,2.444647821284728351e-01,2.201794921309904209e-03,2.506979993958857178e-01,1.025497403810652575e+00
4.740162685349656041e-02,2.441899123233470803e-01,3.287189686318456750e-03,2.549530316274737363e-01,1.044076838398936502e+00
4.886980810049567497e-02,2.502904701037477753e-01,2.316919921837292881e-03,2.581328656889429474e-01,1.031333176936159113e+00
5.093309922617410973e-02,2.602630278463937130e-01,2.449345667887754992e-03,2.618700391282886564e-01,1.006174566150223271e+00
5.248379674487226032e-02,2.602539547826004940e-01,2.240485499188977006e-03,2.650572061849295058e-01,1.018456016955981758e+00
5.437961251237895255e-02,2.719549102980952648e-01,2.105440634558784514e-03,2.702248015621814825e-01,9.936382515247936809e-01
5.668469861568958129e-02,2.772802379961364916e-01,2.349826508604653356e-03,2.770762907378392925e-01,9.992644724349232233e-01
5.800105797149550380e-02,2.852249033190910610e-01,2.739435075869493981e-03,2.803761505244569130e-01,9.830002473900054660e-01
6.029426732721518412e-02,2.941957054721971443e-01,1.649076461386731526e-03,2.870609037584810341e-01,9.757481105909944219e-01
6.212917967761300009e-02,3.032639070000622827e-01,2.573306707248212716e-03,2.930975127769063215e-01,9.664767419119417724e-01
6.404774697856922827e-02,3.070210464970190012e-01,1.969907235956169442e-03,2.996171165522358848e-01,9.758846175880812046e-01
6.636490686460176647e-02,3.191215275447152888e-01,1.799039152945057767e-03,3.068088772126568720e-01,9.614170487751467764e-01
6.904567655939464199e-02,3.257324414858496220e-01,1.724630348653022468e-03,3.156559548197470644e-01,9.690651424827750882e-01
7.101138663560449538e-02,3.327458341098248895e-01,2.354600281308382066e-03,3.219714751691737931e-01,9.676198532448194722e-01
7.336895743619251120e-02,3.397510605816949636e-01,1.691039520067760642e-03,3.290027279366997681e-01,9.683640939145480298e-01
7.588539658703885582e-02,3.510079879560155103e-01,1.843701024242551433e-03,3.357669056079669589e-01,9.565791011287230194e-01
7.891670992906019144e-02,3.505009926395403208e-01,1.744327903168965124e-03,3.429985654009757856e-01,9.785951326925909077e-01
